collection_object_id,guid,species,country,state,locality,lat,long,elevation,life_stage,examined_for,detected,not_detected,presence,absence
33406412,UNCG:Mamm:1018,Callospermophilus lateralis,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55089099,-114.871686,2131,adult,ectoparasite,ectoparasite, ,1, 
33406463,UNCG:Mamm:1055,Tamias minimus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.54793604,-114.842366,2240,adult,ectoparasite,ectoparasite, ,1, 
33406415,UNCG:Mamm:1008,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55654702,-114.834934,2531,adult,ectoparasite,ectoparasite, ,1, 
33406427,UNCG:Mamm:1007,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55653696,-114.834903,2531,adult,ectoparasite,,ectoparasite  ,,0
33406416,UNCG:Mamm:1009,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55663704,-114.834811,2532,adult,ectoparasite,ectoparasite, ,1, 
33406434,UNCG:Mamm:1029,Callospermophilus lateralis,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55692001,-114.834745,2507,adult,ectoparasite,ectoparasite, ,1, 
33406414,UNCG:Mamm:1006,Perognathus mollipilosus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55663704,-114.834741,2531,adult,ectoparasite,ectoparasite, ,1, 
33406442,UNCG:Mamm:1034,Sylvilagus nuttalli,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55716996,-114.834114,2517,adult,ectoparasite,ectoparasite, ,1, 
33406457,UNCG:Mamm:1046,Tamias umbrinus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55623999,-114.833757,2542,adult,ectoparasite,ectoparasite, ,1, 
33406455,UNCG:Mamm:1044,Tamias umbrinus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.55637603,-114.833602,2562,adult,ectoparasite,ectoparasite, ,1, 
33406458,UNCG:Mamm:1045,Tamias umbrinus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.556285,-114.83336,2570,adult,ectoparasite,ectoparasite, ,1, 
33406441,UNCG:Mamm:1019,Tamias minimus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56117802,-114.830904,2547,adult,ectoparasite,,ectoparasite  ,,0
33406429,UNCG:Mamm:1022,Callospermophilus lateralis,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56108196,-114.830387,2559,adult,ectoparasite,ectoparasite, ,1, 
33406444,UNCG:Mamm:1035,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56650002,-114.824049,2591,adult,ectoparasite,ectoparasite, ,1, 
33406439,UNCG:Mamm:1027,Dipodomys microps,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56556502,-114.823947,2644,adult,ectoparasite,ectoparasite, ,1, 
33406453,UNCG:Mamm:1047,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.565662,-114.823924,2634,adult,ectoparasite,ectoparasite, ,1, 
33406452,UNCG:Mamm:1049,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56572998,-114.823906,2631,adult,ectoparasite,ectoparasite, ,1, 
33406459,UNCG:Mamm:1048,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56654898,-114.823887,2605,adult,ectoparasite,,ectoparasite  ,,0
33406446,UNCG:Mamm:1039,Urocitellus beldingi,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56721902,-114.823552,2573,juvenile,ectoparasite,ectoparasite, ,1, 
33406462,UNCG:Mamm:1054,Urocitellus beldingi,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56564004,-114.823502,2544,adult,ectoparasite,ectoparasite, ,1, 
33406432,UNCG:Mamm:1025,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56539998,-114.823448,2636,adult,ectoparasite,ectoparasite, ,1, 
33406440,UNCG:Mamm:1031,Urocitellus beldingi,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56543502,-114.823413,2652,adult,ectoparasite,ectoparasite, ,1, 
33406461,UNCG:Mamm:1053,Urocitellus beldingi,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56666397,-114.823366,2551,adult,ectoparasite,ectoparasite, ,1, 
33406456,UNCG:Mamm:1042,Reithrodontomys megalotis,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56538397,-114.823358,2634,adult,ectoparasite,ectoparasite, ,1, 
33406451,UNCG:Mamm:1041,Microtus longicaudus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56538498,-114.823267,2634,adult,ectoparasite,ectoparasite, ,1, 
33406430,UNCG:Mamm:1021,Callospermophilus lateralis,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56571104,-114.82293,2585,adult,ectoparasite,ectoparasite  ,,1,
33406449,UNCG:Mamm:1038,Microtus longicaudus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56576502,-114.822734,2585,,ectoparasite,,ectoparasite  ,,0
33406454,UNCG:Mamm:1051,Tamias minimus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56651897,-114.819479,2743,adult,ectoparasite,ectoparasite, ,1, 
33406447,UNCG:Mamm:1040,Tamias minimus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56670798,-114.818954,2635,adult,ectoparasite,ectoparasite, ,1, 
33406464,UNCG:Mamm:1056,Tamias minimus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56667797,-114.818881,2647,adult,ectoparasite,,ectoparasite  ,,0
33406407,UNCG:Mamm:1013,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56585303,-114.818308,2682,adult,ectoparasite,ectoparasite, ,1, 
33406422,UNCG:Mamm:1001,Callospermophilus lateralis,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56672902,-114.817521,2673,adult,ectoparasite,ectoparasite, ,1, 
33406406,UNCG:Mamm:1011,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56590399,-114.817482,2695,adult,ectoparasite,ectoparasite, ,1, 
33406445,UNCG:Mamm:1036,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56594296,-114.817202,2700,adult,ectoparasite,ectoparasite, ,1, 
33406421,UNCG:Mamm:1003,Thomomys talpoides,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56663598,-114.816985,2677,adult,ectoparasite,ectoparasite, ,1, 
33406413,UNCG:Mamm:1005,Microtus longicaudus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56602502,-114.816668,2700,adult,ectoparasite,ectoparasite, ,1, 
33406424,UNCG:Mamm:1004,Tamias minimus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56598898,-114.816663,2703,adult,ectoparasite,ectoparasite, ,1, 
33406425,UNCG:Mamm:1014,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.565978,-114.81651,2700,adult,ectoparasite,ectoparasite, ,1, 
33406436,UNCG:Mamm:1032,Microtus longicaudus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.565978,-114.81651,2700,adult,ectoparasite,ectoparasite, ,1, 
33406417,UNCG:Mamm:1010,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56599401,-114.816271,2696,adult,ectoparasite,ectoparasite, ,1, 
33406419,UNCG:Mamm:1012,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56615402,-114.816185,2689,adult,ectoparasite,ectoparasite, ,1, 
33406431,UNCG:Mamm:1023,Thomomys talpoides,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.564913,-114.8154,2731,adult,ectoparasite,ectoparasite, ,1, 
33406426,UNCG:Mamm:1016,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56687696,-114.815332,2665,adult,ectoparasite,ectoparasite, ,1, 
33406443,UNCG:Mamm:1033,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56548296,-114.815194,2696,adult,ectoparasite,ectoparasite, ,1, 
33406437,UNCG:Mamm:1024,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.565346,-114.815132,2713,adult,ectoparasite,ectoparasite, ,1, 
33406450,UNCG:Mamm:1037,Tamias umbrinus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56672801,-114.815099,2655,adult,ectoparasite,,ectoparasite  ,,0
33406418,UNCG:Mamm:1015,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56602703,-114.815071,2697,adult,ectoparasite,ectoparasite, ,1, 
33406423,UNCG:Mamm:1002,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56556402,-114.814975,2709,juvenile,ectoparasite,ectoparasite, ,1, 
33406428,UNCG:Mamm:1020,Lemmiscus curtatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56535296,-114.814903,2707,adult,ectoparasite,ectoparasite, ,1, 
33406433,UNCG:Mamm:1028,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56517904,-114.814867,2707,adult,ectoparasite,ectoparasite, ,1, 
33406435,UNCG:Mamm:1030,Thomomys talpoides,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.565086,-114.814849,2709,adult,ectoparasite,ectoparasite, ,1, 
33406460,UNCG:Mamm:1043,Tamias umbrinus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56657203,-114.814764,2659,adult,ectoparasite,,ectoparasite  ,,0
33406438,UNCG:Mamm:1026,Tamias umbrinus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56639098,-114.814458,2682,adult,ectoparasite,ectoparasite, ,1, 
33406420,UNCG:Mamm:1017,Peromyscus maniculatus,USA,Nevada,1.5 km NNW Spruce Mountain peak,40.56639701,-114.814432,2684,adult,ectoparasite,ectoparasite, ,1, 
33406915,UNCG:Mamm:1119,Microtus longicaudus,USA,Nevada,2 km NE Spruce Mountain peak,40.56411898,-114.806154,2443,adult,ectoparasite,,ectoparasite  ,,0
33406919,UNCG:Mamm:1115,Peromyscus maniculatus,USA,Nevada,2 km NE Spruce Mountain peak,40.564151,-114.806149,2410,adult,ectoparasite,,ectoparasite  ,,0
