collection_object_id,guid,species,country,state,locality,lat,lon,elevation,life_stage,examined_for,detected,not_detected,presence
33704377,UNCG:Mamm:2279,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05764596,-83.46309696,1019.25415,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33704322,UNCG:Mamm:2289,Sorex cinereus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05776901,-83.46297299,1017.913574,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33675697,UNCG:Mamm:2269,Sorex cinereus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05771201,-83.46295598,1007.409546,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33704332,UNCG:Mamm:2282,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05777798,-83.46258298,1009.356995,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33675708,UNCG:Mamm:2266,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05775602,-83.46253797,989.843689,adult,ectoparasite; endoparasite,ectoparasite: flea; endoparasite,,1
33675702,UNCG:Mamm:2271,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05780597,-83.46248098,992.80249,adult,ectoparasite; endoparasite,ectoparasite: mite; endoparasite,,1
33704317,UNCG:Mamm:2280,Sorex cinereus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05774302,-83.46233102,1011.827209,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33705272,UNCG:Mamm:2284,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05804804,-83.46228903,994.895691,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33705277,UNCG:Mamm:2292,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05804997,-83.462283,994.788879,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33704327,UNCG:Mamm:2288,Sorex hoyi,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 6.3 km ENE Frog Mountain, along FR 751",35.05757698,-83.46224,994.279602,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33704383,UNCG:Mamm:2264,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03903897,-83.45303399,639.72644,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
,,,,,,,,,,,,,
33466401,UNCG:Mamm:1529,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03891802,-83.45256401,991.566223,adult,ectoparasite,ectoparasite,endoparasite,1
33466369,UNCG:Mamm:1525,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03893998,-83.45252696,990.880676,subadult,ectoparasite,ectoparasite,endoparasite,1
33466450,UNCG:Mamm:1577,Peromyscus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03898097,-83.45251297,978.281982,juvenile,ectoparasite,ectoparasite,endoparasite,1
33466595,UNCG:Mamm:1556,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.038396,-83.45248598,1004.350708,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
,,,,,,,,,,,,,
33704172,UNCG:Mamm:2251,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.57 km ENE Albert Mountain, along FR 751",35.03871401,-83.45247097,793.193176,adult,ectoparasite,,ectoparasite; endoparasite,1
33610913,UNCG:Mamm:2176,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.038871,-83.452462,992.860596,adult,ectoparasite,ectoparasite,endoparasite,1
33466648,UNCG:Mamm:1544,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03830296,-83.45245698,1009.423706,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
33610908,UNCG:Mamm:2138,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03854704,-83.45245002,975.883911,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33611127,UNCG:Mamm:3489,Peromyscus leucopus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03906404,-83.45240098,1006.421448,adult,,,ectoparasite; endoparasite,1
33466579,UNCG:Mamm:1596,Napeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03856397,-83.45239897,984.477783,adult,,,ectoparasite; endoparasite,1
33611412,UNCG:Mamm:3474,Peromyscus leucopus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03890998,-83.45238296,972.245178,subadult,,,ectoparasite; endoparasite,1
33466422,UNCG:Mamm:1546,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.038799,-83.45236704,971.723755,adult,ectoparasite,ectoparasite,endoparasite,1
33466876,UNCG:Mamm:1592,Napeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03831101,-83.45236201,986.342834,adult,,,ectoparasite; endoparasite,1
33610946,UNCG:Mamm:2133,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03900503,-83.45234902,974.14624,adult,ectoparasite,,ectoparasite; endoparasite,1
33466584,UNCG:Mamm:1527,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03827698,-83.45233301,991.040344,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33704389,UNCG:Mamm:2240,Sorex cinereus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03913503,-83.45231599,984.256287,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33611109,UNCG:Mamm:3476,Peromyscus leucopus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03909396,-83.45231398,967.129822,adult,,,ectoparasite; endoparasite,1
,,,,,,,,,,,,,
33466387,UNCG:Mamm:1526,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.038827,-83.45229596,985.484741,adult,ectoparasite,ectoparasite,endoparasite,1
33466974,UNCG:Mamm:1590,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03924198,-83.45229596,972.724243,adult,,,ectoparasite; endoparasite,1
33465970,UNCG:Mamm:3297,Sorex cinereus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03840002,-83.45229403,991.448669,adult,,,ectoparasite; endoparasite,1
33467156,UNCG:Mamm:1657,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03827698,-83.45228498,992.005798,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466857,UNCG:Mamm:1595,Napeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03839499,-83.45228297,985.368958,adult,,,ectoparasite; endoparasite,1
